action_app_custom_event.fb_mobile_purchase,action_app_custom_event.other,action_app_store_visit,action_comment,action_link_click,action_mobile_app_install,action_omni_app_install,action_omni_custom,action_omni_purchase,action_onsite_app_purchase,action_onsite_conversion.messaging_block,action_onsite_conversion.post_net_save,action_onsite_conversion.post_save,action_onsite_web_app_purchase,action_page_engagement,action_post,action_post_engagement,action_post_interaction_gross,action_post_reaction,action_purchase,action_video_view,action_web_app_in_store_purchase,ad_id,ad_name,adset_id,adset_name,campaign_id,campaign_name,clicks,cost_per_conversion,cost_per_inline_link_click,cost_per_outbound_click,cpa_link_click,cpa_omni_app_install,cpa_omni_custom,cpa_omni_purchase,cpa_page_engagement,cpa_post_engagement,cpa_post_interaction_gross,cpa_purchase,cpa_video_view,cpc,cpm,cpp,ctr,date_start,date_stop,frequency,impressions,inline_link_click_ctr,inline_link_clicks,outbound_clicks,outbound_clicks_ctr,publisher_platform,reach,spend,video_30_sec_watched_actions_video_view,video_avg_time_watched_actions_video_view,video_p100_watched_actions_video_view,video_p25_watched_actions_video_view,video_p50_watched_actions_video_view,video_p75_watched_actions_video_view
,,,,,,,,,,,,,,1,,1,,,,1,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.29,0.29,,,0.29,,32.222222,32.222222,0,2025-11-30,2025-11-30,1,9,,,,,instagram,9,0.29,,2,,1,1,1
,,,,,,,,,,,,,,2,,2,,,,2,,6916163301184,02 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,13.333333,13.333333,0,2025-11-30,2025-11-30,1,3,,,,,threads,3,0.04,,7,,2,1,1
,,,,,,,,,,,,,,4,,4,,,,4,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0525,0.0525,,,0.0525,,52.5,70,0,2025-11-30,2025-11-30,1.333333,4,,,,,audience_network,3,0.21,2,10,2,4,3,2
,514,3,,107,32,32,514,,,,,,,2354,2,2354,21,19,,2226,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,103,"[{'action_type': 'subscribe_mobile_app', 'value': '25.623333'}, {'action_type': 'subscribe_total', 'value': '25.623333'}, {'action_type': 'start_trial_mobile_app', 'value': '13.976364'}, {'action_type': 'start_trial_total', 'value': '13.976364'}]",1.436822,"[{'action_type': 'outbound_click', 'value': '1.436822'}]",1.436822,4.804375,0.299105,,0.06531,0.06531,7.320952,,0.069066,1.492621,26.891726,28.292234,1.801644,2025-11-30,2025-11-30,1.05208,5717,1.871611,107,"[{'action_type': 'outbound_click', 'value': '107'}]","[{'action_type': 'outbound_click', 'value': '1.871611'}]",facebook,5434,153.74,300,4,272,1932,1098,873
,104,,,9,5,5,104,,,,,,,276,1,276,9,8,,258,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,12,"[{'action_type': 'subscribe_mobile_app', 'value': '20.26'}, {'action_type': 'subscribe_total', 'value': '20.26'}, {'action_type': 'start_trial_mobile_app', 'value': '10.13'}, {'action_type': 'start_trial_total', 'value': '10.13'}]",2.251111,"[{'action_type': 'outbound_click', 'value': '2.251111'}]",2.251111,4.052,0.194808,,0.073406,0.073406,2.251111,,0.078527,1.688333,30.104012,31.905512,1.783061,2025-11-30,2025-11-30,1.059843,673,1.337296,9,"[{'action_type': 'outbound_click', 'value': '9'}]","[{'action_type': 'outbound_click', 'value': '1.337296'}]",instagram,635,20.26,26,4,26,220,114,89
,,,,,,,,,,,,,,48,,48,,,,48,,6916167127784,06 fbg og,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.0475,0.0475,,,0.0475,,28.148148,28.5,0,2025-11-30,2025-11-30,1.0125,81,,,,,threads,80,2.28,8,7,8,42,23,14
,,,,,,,,,,,,,,6,,6,,,,6,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.02,0.02,,,0.02,,20,24,0,2025-11-30,2025-11-30,1.2,6,,,,,audience_network,5,0.12,1,8,1,6,4,1
,125,,,26,9,9,125,,,,,,,438,,438,1,1,,411,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,26,"[{'action_type': 'subscribe_mobile_app', 'value': '34.01'}, {'action_type': 'subscribe_total', 'value': '34.01'}, {'action_type': 'start_trial_mobile_app', 'value': '8.5025'}, {'action_type': 'start_trial_total', 'value': '8.5025'}]",1.308077,"[{'action_type': 'outbound_click', 'value': '1.308077'}]",1.308077,3.778889,0.27208,,0.077648,0.077648,34.01,,0.082749,1.308077,24.001411,25.571429,1.834862,2025-11-30,2025-11-30,1.065414,1417,1.834862,26,"[{'action_type': 'outbound_click', 'value': '26'}]","[{'action_type': 'outbound_click', 'value': '1.834862'}]",facebook,1330,34.01,63,3,59,359,221,156
,71,,,4,2,2,71,,,,,,,87,,87,1,1,,82,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,5,"[{'action_type': 'subscribe_mobile_app', 'value': '9.02'}, {'action_type': 'subscribe_total', 'value': '9.02'}, {'action_type': 'start_trial_mobile_app', 'value': '9.02'}, {'action_type': 'start_trial_total', 'value': '9.02'}]",2.255,"[{'action_type': 'outbound_click', 'value': '2.255'}]",2.255,4.51,0.127042,,0.103678,0.103678,9.02,,0.11,1.804,30.996564,31.538462,1.718213,2025-11-30,2025-11-30,1.017483,291,1.37457,4,"[{'action_type': 'outbound_click', 'value': '4'}]","[{'action_type': 'outbound_click', 'value': '1.37457'}]",instagram,286,9.02,11,4,11,72,37,28
,,,,1,,,,,,,,,,43,,43,,,,42,,6916167363584,07 black_4,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,2.05,"[{'action_type': 'outbound_click', 'value': '2.05'}]",2.05,,,,0.047674,0.047674,,,0.04881,2.05,27.333333,27.702703,1.333333,2025-11-30,2025-11-30,1.013514,75,1.333333,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.333333'}]",threads,74,2.05,6,6,6,38,20,14
,,,,1,,,,,,,,,,4,,4,,,,3,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,0.79,"[{'action_type': 'outbound_click', 'value': '0.79'}]",0.79,,,,0.1975,0.1975,,,0.263333,,112.857143,131.666667,0,2025-11-30,2025-11-30,1.166667,7,14.285714,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '14.285714'}]",facebook,6,0.79,,4,,3,1,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.14,0.14,,,0.14,,35,35,0,2025-11-30,2025-11-30,1,4,,,,,instagram,4,0.14,,2,,1,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916167702784,08 aiartist3,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.11,0.11,,,0.11,,110,110,0,2025-11-30,2025-11-30,1,1,,,,,threads,1,0.11,,6,,1,,
,,,,,,,,,,,,,,16,,16,,,,16,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.020629,0.020629,,,0.020629,,20.629206,47.15247,0,2025-11-30,2025-11-30,2.285714,16,,,,,audience_network,7,0.330067,4,9,6,16,10,6
,512,5,,81,34,34,512,,,,,,,1812,1,1812,19,18,,1712,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,80,"[{'action_type': 'subscribe_mobile_app', 'value': '17.179217'}, {'action_type': 'subscribe_total', 'value': '17.179217'}, {'action_type': 'start_trial_mobile_app', 'value': '10.02121'}, {'action_type': 'start_trial_total', 'value': '10.02121'}]",1.484624,"[{'action_type': 'outbound_click', 'value': '1.484624'}]",1.484624,3.536898,0.234872,,0.066366,0.066366,6.329185,,0.070242,1.503181,25.306085,27.67016,1.683502,2025-11-30,2025-11-30,1.093419,4752,1.704545,81,"[{'action_type': 'outbound_click', 'value': '81'}]","[{'action_type': 'outbound_click', 'value': '1.704545'}]",facebook,4346,120.254517,242,4,228,1550,842,532
,324,,,34,20,20,324,,,,2,2,,820,1,820,13,10,,773,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,52,"[{'action_type': 'subscribe_mobile_app', 'value': '18.171205'}, {'action_type': 'subscribe_total', 'value': '18.171205'}, {'action_type': 'start_trial_mobile_app', 'value': '9.085602'}, {'action_type': 'start_trial_total', 'value': '9.085602'}]",2.137789,"[{'action_type': 'outbound_click', 'value': '2.137789'}]",2.137789,3.634241,0.224336,,0.08864,0.08864,5.59114,,0.09403,1.397785,31.289203,33.495308,2.238485,2025-11-30,2025-11-30,1.070507,2323,1.463625,34,"[{'action_type': 'outbound_click', 'value': '34'}]","[{'action_type': 'outbound_click', 'value': '1.463625'}]",instagram,2170,72.684819,80,4,80,706,359,224
,,,,,,,,,,,,,,67,,67,,,,67,,6916168066184,12 Prerna,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.04374,0.04374,,,0.04374,,26.166049,26.401779,0,2025-11-30,2025-11-30,1.009009,112,,,,,threads,111,2.930597,16,14,16,65,41,26
,,,,,,,,,,,,,,1,,1,,,,1,,6916169150784,13 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.09,0.09,,,0.09,,30,30,0,2025-11-30,2025-11-30,1,3,,,,,facebook,3,0.09,,1,,,,
,,,,,,,,,,,,,,6,,6,,,,6,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.14,0.14,,,0.14,,60,64.615385,0,2025-11-30,2025-11-30,1.076923,14,,,,,facebook,13,0.84,3,5,3,6,3,3
,,,,1,,,,,,,,,,4,,4,,,,3,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,1,,0.19,"[{'action_type': 'outbound_click', 'value': '0.19'}]",0.19,,,,0.0475,0.0475,,,0.063333,0.19,31.666667,31.666667,16.666667,2025-11-30,2025-11-30,1,6,16.666667,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '16.666667'}]",instagram,6,0.19,1,10,1,3,2,1
,,,,,,,,,,,,,,2,,2,,,,2,,6916170551184,14 blonde,6916162284184,FB_iOS_Purchase_itoshi_rap_female_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.09,0.09,,,0.09,,45,45,0,2025-11-30,2025-11-30,1,4,,,,,threads,4,0.18,,8,,2,2,1
,,,,,,,,,,,,,,10,,10,,,,10,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.128,0.128,,,0.128,,27.234043,27.234043,0,2025-11-30,2025-11-30,1,47,,,,,facebook,47,1.28,1,2,,10,4,2
,,,,,,,,,,,,,,,,,,,,,,6916171454184,15 tyson,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,4,,,,,instagram,4,0.08,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,6916171835184,16 Curry,6913866281784,FB_iOS_Purchase_itoshi_rap_221125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,,,,,,,10,10,0,2025-11-30,2025-11-30,1,2,,,,,facebook,2,0.02,,1,,,,
,,,,,,,,,,,,,,10,,10,,,,10,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.074,0.074,,,0.074,,67.272727,92.5,0,2025-11-30,2025-11-30,1.375,11,,,,,audience_network,8,0.74,2,7,2,9,6,2
,27,,1,13,2,2,27,,,,,,,235,1,235,9,7,,213,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,13,"[{'action_type': 'subscribe_mobile_app', 'value': '31.88'}, {'action_type': 'subscribe_total', 'value': '31.88'}, {'action_type': 'start_trial_mobile_app', 'value': '31.88'}, {'action_type': 'start_trial_total', 'value': '31.88'}]",2.452308,"[{'action_type': 'outbound_click', 'value': '2.452308'}]",2.452308,15.94,1.180741,,0.13566,0.13566,3.542222,,0.149671,2.452308,40.35443,46.404658,1.64557,2025-11-30,2025-11-30,1.149927,790,1.64557,13,"[{'action_type': 'outbound_click', 'value': '13'}]","[{'action_type': 'outbound_click', 'value': '1.64557'}]",facebook,687,31.88,36,3,35,190,106,69
,9,,,3,1,1,9,,,,,,,87,,87,1,1,,83,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,4,"[{'action_type': 'subscribe_mobile_app', 'value': '14.26'}, {'action_type': 'subscribe_total', 'value': '14.26'}, {'action_type': 'start_trial_mobile_app', 'value': '14.26'}, {'action_type': 'start_trial_total', 'value': '14.26'}]",4.753333,"[{'action_type': 'outbound_click', 'value': '4.753333'}]",4.753333,14.26,1.584444,,0.163908,0.163908,14.26,,0.171807,3.565,44.984227,46.449511,1.26183,2025-11-30,2025-11-30,1.032573,317,0.946372,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '0.946372'}]",instagram,307,14.26,7,3,7,74,38,26
,,,,,,,,,,,,,,43,,43,1,1,,42,,6916172721984,11 black baby,6916172721584,FB_iOS_Purchase_itoshi_rap_baby_261125,6913294159984,FB_iOS_Purchase_itoshi_v1_set6_211125,0,,,,,,,,0.045349,0.045349,1.95,,0.046429,,27.464789,27.857143,0,2025-11-30,2025-11-30,1.014286,71,,,,,threads,70,1.95,12,8,12,39,30,23
,339,2,,77,27,27,339,,,,,,,1358,1,1358,7,6,,1274,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,72,"[{'action_type': 'subscribe_mobile_app', 'value': '14.965339'}, {'action_type': 'subscribe_total', 'value': '14.965339'}, {'action_type': 'start_trial_mobile_app', 'value': '14.965339'}, {'action_type': 'start_trial_total', 'value': '14.965339'}]",0.583065,"[{'action_type': 'outbound_click', 'value': '0.583065'}]",0.583065,1.662815,0.132437,,0.03306,0.03306,6.413717,,0.03524,0.623556,11.260601,12.13078,1.805869,2025-11-30,2025-11-30,1.077276,3987,1.931277,77,"[{'action_type': 'outbound_click', 'value': '77'}]","[{'action_type': 'outbound_click', 'value': '1.931277'}]",facebook,3701,44.896018,148,3,132,1117,531,323
,9,,,10,2,2,9,,,,,,,93,1,93,3,2,,80,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,10,"[{'action_type': 'start_trial_mobile_app', 'value': '3.933155'}, {'action_type': 'start_trial_total', 'value': '3.933155'}]",0.393316,"[{'action_type': 'outbound_click', 'value': '0.393316'}]",0.393316,1.966578,0.437017,,0.042292,0.042292,1.311052,,0.049164,0.393316,16.953256,17.558729,4.310345,2025-11-30,2025-11-30,1.035714,232,4.310345,10,"[{'action_type': 'outbound_click', 'value': '10'}]","[{'action_type': 'outbound_click', 'value': '4.310345'}]",instagram,224,3.933155,6,4,6,64,33,16
,,,,1,,,,,,,,,,33,,33,1,1,,31,,6916177448584,10 Asian baby - Copy,6916176486384,FB_iOS_itoshi_rap_baby,6913347651784,FB_iOS_itoshi_rap_install,1,,1.030827,"[{'action_type': 'outbound_click', 'value': '1.030827'}]",1.030827,,,,0.031237,0.031237,1.030827,,0.033252,1.030827,15.15922,15.385477,1.470588,2025-11-30,2025-11-30,1.014925,68,1.470588,1,"[{'action_type': 'outbound_click', 'value': '1'}]","[{'action_type': 'outbound_click', 'value': '1.470588'}]",threads,67,1.030827,5,5,5,28,14,8
,7,,,3,,,7,,,,,,,14,,14,,,,11,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,3,,0.353333,"[{'action_type': 'outbound_click', 'value': '0.353333'}]",0.353333,,0.151429,,0.075714,0.075714,,,0.096364,0.353333,26.5,29.444444,7.5,2025-11-30,2025-11-30,1.111111,40,7.5,3,"[{'action_type': 'outbound_click', 'value': '3'}]","[{'action_type': 'outbound_click', 'value': '7.5'}]",facebook,36,1.06,2,3,2,9,5,4
,,,,2,,,,,,,,,,8,,8,,,,6,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,2,,0.26,"[{'action_type': 'outbound_click', 'value': '0.26'}]",0.26,,,,0.065,0.065,,,0.086667,0.26,40,40,15.384615,2025-11-30,2025-11-30,1,13,15.384615,2,"[{'action_type': 'outbound_click', 'value': '2'}]","[{'action_type': 'outbound_click', 'value': '15.384615'}]",instagram,13,0.52,1,4,1,5,3,1
,,,,,,,,,,,,,,1,,1,,,,1,,6916177884584,08 aiartist3 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,threads,1,0.02,,13,,1,1,1
,,,,,,,,,,,,,,2,,2,,,,2,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.03,0.03,,,0.03,,12,12,0,2025-11-30,2025-11-30,1,5,,,,,facebook,5,0.06,,3,,2,,
,,,,,,,,,,,,,,1,,1,,,,1,,6916177884784,18 esha - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.02,,4,,1,,
,,,,,,,,,,,,,,,,,,,,,,6916177884984,14 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,facebook,1,0.02,,2,,,,
,,,,,,,,,,,,,,,,,,,,,,6916177884984,14 blonde - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,20,20,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0.02,,1,,,,
,,,,,,,,,,,,,,2,,2,,,,2,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,0.02,0.02,,,0.02,,20,20,0,2025-11-30,2025-11-30,1,2,,,,,facebook,2,0.04,,9,,2,2,1
,,,,,,,,,,,,,,,,,,,,,,6916177885184,12 Prerna - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,0,,,,,,,,,,,,,,0,0,0,2025-11-30,2025-11-30,1,1,,,,,instagram,1,0,,2,,,,
,183,1,,51,17,17,183,,,,1,1,,683,2,683,7,4,,625,,6916177885984,07 black_4 - Copy,6916176936184,FB_iOS_itoshi_rap_female,6913347651784,FB_iOS_itoshi_rap_install,49,"[{'action_type': 'subscribe_mobile_app', 'value': '10.699638'}, {'action_type': 'subscribe_total', 'value': '10.699638'}, {'action_type': 'start_trial_mobile_app', 'value': '7.133092'}, {'action_type': 'start_trial_total', 'value': '7.133092'}]",0.419594,"[{'action_type': 'outbound_click', 'value': '0.419594'}]",0.419594,1.258781,0.116936,,0.031331,0.031331,3.057039,,0.034239,0.43672,12.506882,13.0563,2.863822,2025-11-30,2025-11-30,1.043929,1711,2.980713,51,"[{'action_type': 'outbound_click', 'value': '51'}]","[{'action_type': 'outbound_click', 'value': '2.980713'}]",facebook,1639,21.399276,86,4,80,525,302,215
